Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::DENY	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	10
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::NEUTRAL	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	14
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::ACCEPT	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	7
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::DENY	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	10
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::NEUTRAL	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	14
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.CoreConstants::LINE_SEPARATOR	ch.qos.logback.core.CoreConstants	ch.qos.logback.core.CoreConstants	java.lang.String	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	11
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::ACCEPT	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	7
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::DENY	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	10
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::NEUTRAL	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	14
org.slf4j:slf4j-api:1.7.31	org.slf4j.impl.StaticMDCBinder::SINGLETON	org.slf4j.impl.StaticMDCBinder	org.slf4j.impl.StaticMDCBinder	org.slf4j.impl.StaticMDCBinder	TRUE	public	ch.qos.logback:logback-classic:1.2.5	FALSE	1
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.CoreConstants::LINE_SEPARATOR	ch.qos.logback.core.CoreConstants	ch.qos.logback.core.CoreConstants	java.lang.String	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	4
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::ACCEPT	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	7
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::DENY	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	10
org.slf4j:slf4j-api:1.7.31	org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION	org.slf4j.impl.StaticLoggerBinder	org.slf4j.impl.StaticLoggerBinder	java.lang.String	TRUE	public	ch.qos.logback:logback-classic:1.2.5	FALSE	1
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::NEUTRAL	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	14
org.slf4j:slf4j-api:1.7.31	org.slf4j.impl.StaticMDCBinder::SINGLETON	org.slf4j.impl.StaticMDCBinder	org.slf4j.impl.StaticMDCBinder	org.slf4j.impl.StaticMDCBinder	TRUE	public	ch.qos.logback:logback-classic:1.2.5	FALSE	1
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.CoreConstants::LINE_SEPARATOR	ch.qos.logback.core.CoreConstants	ch.qos.logback.core.CoreConstants	java.lang.String	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	6
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::ACCEPT	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	7
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::DENY	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	10
org.slf4j:slf4j-api:1.7.31	org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION	org.slf4j.impl.StaticLoggerBinder	org.slf4j.impl.StaticLoggerBinder	java.lang.String	TRUE	public	ch.qos.logback:logback-classic:1.2.5	FALSE	1
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::NEUTRAL	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	14
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.CoreConstants::LINE_SEPARATOR	ch.qos.logback.core.CoreConstants	ch.qos.logback.core.CoreConstants	java.lang.String	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	5
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::ACCEPT	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	7
org.slf4j:slf4j-api:1.7.31	org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION	org.slf4j.impl.StaticLoggerBinder	org.slf4j.impl.StaticLoggerBinder	java.lang.String	TRUE	public	ch.qos.logback:logback-classic:1.2.5	FALSE	1
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::DENY	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	10
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::NEUTRAL	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	14
org.slf4j:slf4j-api:1.7.31	org.slf4j.impl.StaticMDCBinder::SINGLETON	org.slf4j.impl.StaticMDCBinder	org.slf4j.impl.StaticMDCBinder	org.slf4j.impl.StaticMDCBinder	TRUE	public	ch.qos.logback:logback-classic:1.2.5	FALSE	1
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.CoreConstants::LINE_SEPARATOR	ch.qos.logback.core.CoreConstants	ch.qos.logback.core.CoreConstants	java.lang.String	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	11
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.spi.FilterReply::ACCEPT	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	ch.qos.logback.core.spi.FilterReply	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	7
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.CoreConstants::EMPTY_CLASS_ARRAY	ch.qos.logback.core.CoreConstants	ch.qos.logback.core.CoreConstants	java.lang.Class<?>[]	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	1
ch.qos.logback:logback-classic:1.2.5	ch.qos.logback.core.CoreConstants::EMPTY_STRING_ARRAY	ch.qos.logback.core.CoreConstants	ch.qos.logback.core.CoreConstants	java.lang.String[]	TRUE	public	ch.qos.logback:logback-core:1.2.5	FALSE	1
